account_id,account_name,Scope_3_emissions_amount,z_score,Primary activity,Year
9103,Ingersoll-Rand Co. Ltd.,188883915.66,3.2218327682472805,Electrical equipment,2015
21407,Lenovo Group,14563660.0,2.289234775466813,Computer hardware,2015
17073,SK Telecom,36089468.0,6.289366669104151,Telecommunications services,2015
6874,Fujitsu Ltd.,8124800.0,3.960865246665982,Other professional services,2015
12903,NEC Corporation,9102120.0,4.481284553963948,Other professional services,2015
5584,Endesa,26728838.91,3.26207237178982,0,2015
1857,Biogen Inc.,345217.0,2.5492822297878046,Biotechnology,2015
3751,ConocoPhillips,215689634.0,3.7049362306381615,Oil & gas extraction,2015
777,Anglo American Platinum,1322596.0,2.8360784234263705,Precious metals & minerals mining,2015
19316,Cleanaway Waste Management,1789574.0,2.1264756250261367,Waste management,2015
22499,Intercontinental Hotels Group,8053772.0,2.3145328507729785,Hotels & lodging,2015
10234,"Kokuyo Co., Ltd.",498930.23,2.6381802279989546,Furniture,2015
10227,Korea Gas Corp,99794693.01,2.262161599222964,Gas utilities,2015
7619,Goodyear Tire & Rubber Company,175238431.22,2.498246698298358,Rubber products,2015
12303,Mitsui O.S.K. Lines Ltd,8038291.85,2.646371049606506,Marine freight,2015
8741,ICADE,457744.0,2.0431079796700957,Real estate owners & developers,2016
13586,NTT Urban Development Corporation,516577.39,2.380136734312289,Real estate owners & developers,2016
4663,Deutsche Post AG,31850000.0,3.393707233107442,Logistics - 3rd party,2016
7619,Goodyear Tire & Rubber Company,176643655.0,2.2895779335601967,Rubber products,2016
20515,"Waste Management, Inc.",9266635.63,2.566830382767148,Waste management,2016
16012,Royal Dutch Shell,606175000.0,2.173960838498369,Oil & gas refining,2016
57455,"NIHON KAJITSU KOGYO CO., LTD",201902896.2,3.200903784099664,Non-alcoholic beverages,2016
10670,LG Electronics,85495611.0,3.5119717656252054,Electronic equipment,2016
14292,Panasonic Corporation,95753000.0,3.973569848739553,Electronic equipment,2016
13279,NIKE Inc.,6368851.0,2.217723876628678,Clothing manufacture,2016
21403,Olam International,22739813.0,2.233190377676585,Food & beverage wholesale,2016
4255,"Daito Trust Construction Co., Ltd.",5642689.58,3.160682254724989,Real estate services,2016
1452,Bank of America,3513258.0,3.728450982925201,Asset managers,2016
9054,Industrivärden,2900055.37,3.0153676630440995,Asset managers,2016
53,Abertis Infraestructuras,10967663.0,2.3700188196010163,Transportation infrastructure & other construction,2016
2096,Bouygues,13501720.0,3.043605770646324,Transportation infrastructure & other construction,2016
19080,thyssenkrupp AG,917117000.0,4.242441897048956,Commercial services,2016
18585,TETRA PAK,10790476.0,3.998810347898918,Paper products,2016
64,Abbott Laboratories,7792270.0,2.0471584748311025,Health care supplies,2016
3042,Centrica,154420533.0,2.5391431135329183,CCGT generation,2016
7121,ENGIE,175369729.0,2.973870474571812,CCGT generation,2016
4050,Credit Agricole,160048319.0,10.815790930126695,Banks,2016
8611,HSBC Holdings plc,33776807.0,2.171455767790452,Banks,2016
8525,LafargeHolcim Ltd,40015509.0,3.034612002622433,Cement,2016
11930,Microsoft Corporation,23591081.0,4.006011194350089,Software,2016
21394,Wistron Corp,388009719.59,7.175743222978024,Electronic components,2016
14709,Koninklijke Philips NV,112447289.0,4.122983083426233,Medical equipment,2016
14605,"PepsiCo, Inc.",79397331.0,4.878864198352733,Other food processing,2016
904,ArcelorMittal,27628952.0,2.393012721644028,Iron & steel,2016
59134,NATS,24305772.0,2.6361635793887896,Transportation support services,2016
865,Apple Inc.,32319900.0,2.0747117399311725,Communications equipment,2016
3329,"Cisco Systems, Inc.",37937824.0,2.522447173990268,Communications equipment,2016
5811,Ericsson,38096000.0,2.535053432105851,Communications equipment,2016
1516,BASF SE,122830000.0,5.770187661810786,Specialty chemicals,2016
252,Aegon,4844762.0,2.6203914146512117,Insurance,2016
1287,AXA Group,12184947.0,6.928653685041524,Insurance,2016
2302,Sky plc,2809199.0,3.640052467450912,Marketing,2016
18574,Tesco,45037295.0,4.27821725166558,"Supermarkets, food & drugstores",2016
23214,J Sainsbury Plc,24697865.0,2.1337219097763573,"Supermarkets, food & drugstores",2016
8338,"Hitachi, Ltd.",269179000.0,4.87401512305281,Electrical equipment,2016
9103,Ingersoll-Rand Co. Ltd.,162464167.0,2.791493109501562,Electrical equipment,2016
7903,H&M Hennes & Mauritz AB,16178117.0,3.815368710106119,Apparel stores,2016
10268,Korea Electric Power Corp,448317397.0,4.618029267564784,Electricity networks,2016
21407,Lenovo Group,14572794.0,2.792782345376907,Computer hardware,2016
13298,Nippon Telegraph & Telephone Corporation (NTT),16767484.0,3.5608852886438704,Telecommunications services,2016
20175,Verizon Communications Inc.,23451321.0,5.159355373096517,Telecommunications services,2016
9992,"Kawasaki Heavy Industries, Ltd.",54324090.0,5.025640971994863,Industrial machinery,2016
1708,"Berry Global Group, Inc",3862000.0,3.7552458455827176,Other containers & packaging,2016
15132,Procter & Gamble Company,209305000.0,4.989659878564651,Personal care & household products,2016
18266,Taisei Corporation,28750043.0,3.7512218891541127,Non-residential building construction,2016
